Date,spClose,nsdqClose,dxyClose,Open,High,Low,Close,Adj Close,Volume,BTC / USD Denominated Closing Price,BTC / Free Float MVRV (Free Float Market Cap / Realized Market Cap),BTC / MVRV (Market Cap / Realized Market Cap),BTC / BTC Denominated Price,BTC / Free Float Market Cap (USD),BTC / Realized Market Cap (USD),BTC / Daily Inflation Rate,BTC / All Time Miner Revenue (USD),BTC / Total Fees (USD),BTC / Miner Supply (USD),BTC / Exchange Deposits (USD),BTC / Exchange Withdrawals (USD),BTC / Annual Inflation Rate
2014-09-17,2001.5699462890625,4562.18994140625,84.69999694824219,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,457.3340148925781,21056800,456.339891291642,1.19915852,1.28560635,1.0,5653152943.237013,4714266580.33822,0.0350121870641812,989996994.9088262,5494.516757425627,922278182.1365564,10657523.93421448,9743523.764181677,12.7794482784262
2014-09-18,2011.3599853515625,4593.43017578125,84.31999969482422,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,424.4400024414063,34483200,426.880106954997,1.12379039,1.20503333,1.0,5288983241.194966,4706378788.413533,0.0336831747251395,991912497.7300651,5214.342615243017,863041567.8172699,16964795.678285047,13595481.586775493,12.2943587746759
2014-09-19,2010.4000244140625,4579.7900390625,84.80000305175781,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,393.893890707189,1.03973566,1.11512348,1.0,4880889429.469805,4694356087.549867,0.0321674306757962,993600655.8451301,4261.732291722669,796896261.2728317,17703437.71890189,16941577.519283418,11.7411121966656
2014-09-20,,,,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,408.9039916992188,36863600,411.041342781999,1.08714673,1.16620763,1.0,5094027687.751664,4685685504.353814,0.0330970410562476,995413473.0181239,4235.264753000311,832455744.7482752,9387691.755494932,8728491.965798289,12.0804199855304
2014-09-21,,,,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,400.404530683811,1.05946207,1.1367134,1.0,4962846503.072548,4684307849.983221,0.0308309162354928,997058770.0212888,3638.4273612137654,811705344.7919235,10505399.074703882,10898093.140474739,11.2532844259549
2014-09-22,1994.2900390625,4527.68994140625,84.66999816894531,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,400.881622150789,1.06147573,1.13884767,1.0,4970443542.710681,4682578607.617167,0.0315729181622616,998747210.6964272,4737.862105193697,812885706.2878338,8886441.673239395,8790131.739619607,11.5241151292255
2014-09-23,1982.77001953125,4508.68994140625,84.66000366210938,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,438.491800993571,1.16090119,1.2456203,1.0,5437860135.335637,4684171404.644231,0.0281821609211229,1000397121.7105455,5566.760392458073,889110038.0941668,17601902.591009,12896854.11977254,10.2864887362098
2014-09-24,1998.300048828125,4555.22021484375,85.05000305175781,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,423.2049865722656,30627700,423.700091759205,1.12216219,1.20431489,1.0,5254826481.218476,4682769155.355449,0.0293008594379954,1002054839.584637,5287.516230638373,859042942.3858869,11638219.189039102,14942276.488934752,10.6948136948683
2014-09-25,1965.989990234375,4466.75,85.19999694824219,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,409.537749853887,1.08517079,1.16485544,1.0,5079775662.676347,4681084034.457774,0.0322956423359202,1003821261.3891076,5409.48009885002,830769769.5146245,9461290.332926268,10848034.041812394,11.7879094526109
2014-09-26,1982.8499755859375,4512.18994140625,85.63999938964844,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,404.4249877929688,21460800,405.298251899474,1.07531548,1.15453429,1.0,5027332125.936744,4675216005.488159,0.0251542296193561,1005198406.2226374,19395.689666613634,822105776.3656311,12137037.61831241,9397632.040934248,9.18129381106499
2014-09-27,,,,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,400.599334599649,1.06322707,1.14181027,1.0,4969186798.551923,4673683463.829335,0.0251479038578753,1006544496.241889,4082.248342704016,813276884.3218751,6430711.889735831,9693461.788622066,9.17898490812448
2014-09-28,,,,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300,375.549989772063,0.99710744,1.07103907,1.0,4658577832.199708,4672092123.555959,0.0243912693689374,1007769157.6063327,4123.89768440198,761782544.2675829,9725953.705064666,8236714.885329972,8.90281331966214
2014-09-29,1977.800048828125,4505.85009765625,85.58999633789062,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700,373.0645578609,0.99302885,1.0668785,1.0,4627979995.5986185,4660468810.94487,0.0256980398218661,1009051512.2352448,4608.51823850181,756853874.5444299,12435591.978951165,12450381.89120441,9.37978453498114
2014-09-30,1972.2900390625,4493.39013671875,85.94000244140625,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300,389.264040411455,1.03671682,1.1140296,1.0,4829396911.284676,4658356868.475028,0.0286910366316834,1010545122.3509731,4675.161154522039,789086305.9011635,11123902.602667386,11159089.529816195,10.4722283705645
2014-10-01,1946.1600341796875,4422.08984375,85.97000122070312,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,382.909365867914,1.02075667,1.09708972,1.0,4751026815.276638,4654416628.275799,0.0290576369453306,1012033879.5840346,4983.440323255633,776819939.59316,10368146.361538336,10008393.853798807,10.6060374850457
2014-10-02,1946.1700439453125,4430.2001953125,85.5999984741211,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,372.525699006429,0.99395631,1.06843242,1.0,4622748107.442797,4650856438.804317,0.0258639791278471,1013323344.7897421,4251.54413536162,756043912.9192208,10680289.950342132,10125103.957425391,9.44035238166419
2014-10-03,1967.9000244140625,4475.6201171875,86.69000244140625,375.1809997558594,377.6950073242188,357.8590087890625,359.5119934082031,359.5119934082031,30901200,357.665713617767,0.95759822,1.02941189,1.0,4439295296.374917,4635864178.006044,0.0273558547610948,1014633154.7901907,4330.145743791545,724687951.6224781,13614223.797861364,11840129.60525066,9.98488698779962
2014-10-04,,,,359.8919982910156,364.4869995117188,325.885986328125,328.8659973144531,328.8659973144531,47236500,328.826113091759,0.88222658,0.9484552,1.0,4082230150.3294244,4627190169.465041,0.028846482110542,1015903225.451884,4090.1262901171253,666763887.7936203,16061737.772269784,11828443.935707327,10.5289659703478
2014-10-05,,,,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,322.826261542957,0.86661559,0.93172895,1.0,4008769616.78961,4625776021.364571,0.0316461864125827,1017270975.211229,3808.804325966198,654638980.30763,37859857.88711873,21335712.188594036,11.5508580405927
2014-10-06,1964.8199462890625,4454.7998046875,85.70999908447266,320.3890075683594,345.1340026855469,302.5599975585937,330.0790100097656,330.0790100097656,79011800,326.803532729398,0.8843661,0.95087199,1.0,4059130530.5286627,4589875774.009883,0.0301390557200183,1018590596.7716225,4237.341157780205,662966962.7716078,13968586.960944865,16917690.468810078,11.0007553378067
2014-10-07,1935.0999755859375,4385.2001953125,85.66999816894531,330.5840148925781,339.2470092773437,320.48199462890625,336.18701171875,336.18701171875,49199900,333.570194915254,0.90353543,0.97154668,1.0,4143944436.774523,4586366284.182778,0.0250783890824106,1019712379.9686866,4323.044097903617,676711744.2413965,9720412.626935815,11577116.652369227,9.15361201507988
2014-10-08,1968.8900146484375,4468.58984375,85.30000305175781,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,352.94000244140625,54736300,354.407334307423,0.95957117,1.03194969,1.0,4403353655.303011,4588876557.3531685,0.0269426496357197,1020992687.0844039,4440.712210518125,718674043.7614598,14462518.731899751,16560509.180601781,9.8340671170377
2014-10-09,1928.2099609375,4378.33984375,85.5199966430664,352.7479858398437,382.72601318359375,347.68701171875,365.0260009765625,365.0260009765625,83641104,361.716424897721,0.980518,1.05462843,1.0,4494762668.467736,4584069519.103515,0.0276833907466532,1022336078.2152629,5040.358737405613,734041371.4115548,18319961.01130907,18071718.941877704,10.1044376225284
2014-10-10,1906.1300048828125,4276.240234375,85.91000366210938,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,361.56201171875,43665700,358.890390810053,0.97370871,1.04743744,1.0,4460372521.884791,4580807848.722804,0.0289843369554512,1023731367.3676617,4588.888009880581,722831047.4546635,10819649.555352932,13711642.55303937,10.5792829887397
2014-10-11,,,,361.3619995117188,367.1910095214844,355.95098876953125,362.2990112304688,362.2990112304688,13345200,361.908376972531,0.98245263,1.05694518,1.0,4498658823.083874,4579008383.757887,0.0269201351220652,1025038004.4688021,3766.944039258668,729256682.024436,10870554.42674958,6734818.300201665,9.8258493195538
2014-10-12,,,,362.6059875488281,379.4330139160156,356.1440124511719,378.5490112304688,378.5490112304688,17552800,377.871243717124,1.02601605,1.10393506,1.0,4697857951.435269,4578737290.95641,0.0276602636345452,1026440422.0536959,4293.983140458232,761877002.1071122,6543587.238501075,6565213.190865934,10.095996226609
2014-10-13,1874.739990234375,4213.66015625,85.43000030517578,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,391.994208942139,1.06257969,1.14335604,1.0,4874508906.804005,4587429026.911543,0.0289601300261204,1027964487.1785787,5087.565231985185,790659970.7710627,14027322.390467579,16618249.217587896,10.5704474595339
